question,right,wrong,wrong,image
"What is the name of Mario's brother?","Luigi","Wario","Waluigi","https://www.shutterstock.com/image-vector/retro-pixel-game-console-placeholder-260nw-2546836525.jpg"
"What is the name of the main protagonist in The Legend of Zelda series?","Link","Zelda","Ganon","https://www.shutterstock.com/image-vector/retro-pixel-game-console-placeholder-260nw-2546836525.jpg"
"In Pac-Man, what is the name of the red ghost?","Blinky","Pinky","Inky","https://www.shutterstock.com/image-vector/retro-pixel-game-console-placeholder-260nw-2546836525.jpg"
"What is Ryu's signature fireball projectile in Street Fighter?","Hadoken","Sonic Boom","Yoga Fire","https://www.shutterstock.com/image-vector/retro-pixel-game-console-placeholder-260nw-2546836525.jpg"
"What is the name of Cloud Strife's iconic weapon in Final Fantasy VII?","Buster Sword","Masamune","Gunblade","https://www.shutterstock.com/image-vector/retro-pixel-game-console-placeholder-260nw-2546836525.jpg"
"What is the main objective in Minecraft's survival mode?","Defeat the Ender Dragon","Build a castle","Collect all diamonds","https://www.shutterstock.com/image-vector/retro-pixel-game-console-placeholder-260nw-2546836525.jpg"
"What is the name of Geralt of Rivia's adopted daughter in The Witcher 3?","Ciri","Yennefer","Triss","https://www.shutterstock.com/image-vector/retro-pixel-game-console-placeholder-260nw-2546836525.jpg"
"Which hero in Overwatch is a genetically engineered gorilla from the moon?","Winston","Hammond","Doomfist","https://www.shutterstock.com/image-vector/retro-pixel-game-console-placeholder-260nw-2546836525.jpg"
"Which of these is a starting Pokémon from the Kanto region?","Bulbasaur","Chikorita","Treecko","https://www.shutterstock.com/image-vector/retro-pixel-game-console-placeholder-260nw-2546836525.jpg"
"What is Solid Snake's real name in the Metal Gear Solid series?","David","John","Jack","https://www.shutterstock.com/image-vector/retro-pixel-game-console-placeholder-260nw-2546836525.jpg"
"In the original Greek saga of God of War, Kratos is the God of...?","War","Thunder","The Underworld","https://www.shutterstock.com/image-vector/retro-pixel-game-console-placeholder-260nw-2546836525.jpg"
"What is the name of Master Chief's AI companion in the Halo series?","Cortana","Alexa","Siri","https://www.shutterstock.com/image-vector/retro-pixel-game-console-placeholder-260nw-2546836525.jpg"
"Who is the protagonist of Red Dead Redemption 2?","Arthur Morgan","John Marston","Dutch van der Linde","https://www.shutterstock.com/image-vector/retro-pixel-game-console-placeholder-260nw-2546836525.jpg"
"In Elden Ring, what are the demigod children of Queen Marika the Eternal called?","The Shardbearers","The Tarnished","The Ashen Ones","https://www.shutterstock.com/image-vector/retro-pixel-game-console-placeholder-260nw-2546836525.jpg"
"What is the name of the malevolent AI that guides the player in Portal?","GLaDOS","SHODAN","Wheatley","https://www.shutterstock.com/image-vector/retro-pixel-game-console-placeholder-260nw-2546836525.jpg"
"What is the name of the main protagonist of the original Mass Effect trilogy?","Commander Shepard","Captain Anderson","The Illusive Man","https://www.shutterstock.com/image-vector/retro-pixel-game-console-placeholder-260nw-2546836525.jpg"
"In The Elder Scrolls V: Skyrim, what is the player character's title?","Dragonborn","Nerevarine","Hero of Kvatch","https://www.shutterstock.com/image-vector/retro-pixel-game-console-placeholder-260nw-2546836525.jpg"
"The underwater city in the first BioShock game is called...?","Rapture","Columbia","Atlantis","https://www.shutterstock.com/image-vector/retro-pixel-game-console-placeholder-260nw-2546836525.jpg"
"Who is Donkey Kong's primary antagonist in the Donkey Kong Country series?","King K. Rool","Bowser","King Dedede","https://www.shutterstock.com/image-vector/retro-pixel-game-console-placeholder-260nw-2546836525.jpg"
"Which region of Runeterra is known for its pirates and port city, Bilgewater?","Bilgewater","Ionia","Noxus","https://www.shutterstock.com/image-vector/retro-pixel-game-console-placeholder-260nw-2546836525.jpg"
