question,correct,wrong1,wrong2,wrong3
"Qual é o nome do protagonista da série The Legend of Zelda?","Link","Zelda","Ganon","Tingle"
"Em que ano foi lançado o primeiro Super Mario Bros para o NES?","1985","1983","1987","1981"
"Qual desses jogos é do gênero Battle Royale?","Fortnite","FIFA","The Sims","Elden Ring"
"Qual é o console mais vendido de todos os tempos?","PlayStation 2","Nintendo Switch","Wii","PlayStation 4"
"Quem é o criador da série Metal Gear?","Hideo Kojima","Shigeru Miyamoto","Masahiro Sakurai","Shinji Mikami"
"Qual o nome do reino onde se passa a maioria dos jogos de Super Mario?","Mushroom Kingdom","Hyrule","Azeroth","Kanto"
"Qual Pokémon é conhecido como o ""Rato Elétrico""?","Pikachu","Raichu","Jolteon","Zapdos"
"Qual o nome da empresa que desenvolveu o jogo ""The Witcher 3: Wild Hunt""?","CD Projekt Red","Ubisoft","Rockstar Games","Bethesda"
"Em ""God of War"" (2018), qual o nome do filho de Kratos?","Atreus","Zeus","Deimos","Baldur"
"Qual jogo popular de 2011 permite que os jogadores construam e explorem mundos feitos de blocos?","Minecraft","Terraria","Roblox","Stardew Valley"
